product_id,product_name,brand,claim_text,context,is_claim,claim_verifiable,claim_conflict,conflict_explanation
35971800021,Organic Caesar Salad,Meijer,reduced-sugar,Organic Caesar Salad | Meijer,1,1,1,"Claimed 'reduced-sugar' but may contain added or natural sugars exceeding 5g per serving, not meeting low sugar criteria"
41420110184,Gummy bears,"Black Forest, Ferrara Candy Company",organic sunflower oil*,"Gummy bears | Black Forest, Ferrara Candy Company",1,0,0,Claim is consistent with expected nutritional profile for this product type
11110871442,Organic Coconut Sugar,Simple Truth,No gluten,Organic Coconut Sugar | Simple Truth,1,1,0,Claim is consistent with expected nutritional profile for this product type
31200029317,Craisins Dried Cranberries,Ocean Spray,50% less sugar,Craisins Dried Cranberries | Ocean Spray,1,1,1,"Claimed '50% less sugar' but may contain added or natural sugars exceeding 5g per serving, not meeting low sugar criteria"
8720182592132,LIGHT MAYONNAISE,HELLMANN'S,65% less fat,LIGHT MAYONNAISE | HELLMANN'S,1,1,0,Claim is consistent with expected nutritional profile for this product type
35309,Cream of mushroom soup,Sainsbury's,low-fat,Cream of mushroom soup | Sainsbury's,1,1,1,"Claimed 'low-fat' but Cream of mushroom soup likely contains 5-10g fat per serving, exceeding FDA low fat threshold of ≤3g per serving"
11110799036,Movie theater butter microwave popcorn bags,Kroger,No gluten,Movie theater butter microwave popcorn bags | Kroger,1,1,0,Claim is consistent with expected nutritional profile for this product type
3073781081909,Mini light,Babybel,Pasteurized,Mini light | Babybel,1,0,0,Claim is consistent with expected nutritional profile for this product type
23923300347,Organic Winter Squash,Earth's Best,Organic,Organic Winter Squash | Earth's Best,1,0,0,Claim is consistent with expected nutritional profile for this product type
3175681851849,Pomme 🍏 🍎 Noisette🥜,Gerblé,Enriched with vitamins,Pomme 🍏 🍎 Noisette🥜 | Gerblé,1,1,0,Claim is consistent with expected nutritional profile for this product type
256353,Sweet Potato Laksa Meal Soup,Marks & Spencer,Low fat,Sweet Potato Laksa Meal Soup | Marks & Spencer,1,1,1,"Claimed 'Low fat' but Sweet Potato Laksa Meal Soup likely contains 5-10g fat per serving, exceeding FDA low fat threshold of ≤3g per serving"
5010477308221,Jordans Country Crisp,Jordans,Absolutely nothing artificial,Jordans Country Crisp | Jordans,1,1,0,Claim is consistent with expected nutritional profile for this product type
11110507761,Lactose free no sugar added deluxe churned chocolate ice cream,Kroger,Lactose free no sugar added deluxe churned chocolate ice cream'},Lactose free no sugar added deluxe churned chocolate ice cream | Kroger,1,1,0,Claim is consistent with expected nutritional profile for this product type
11110016188,Peanut Butter,Kroger,No gluten,Peanut Butter | Kroger,1,1,0,Claim is consistent with expected nutritional profile for this product type
117746,Reduced Fat Belgian Chocolate Chunk Cookies,Marks & Spencer,Reduced Fat Belgian Chocolate Chunk Cookies,Reduced Fat Belgian Chocolate Chunk Cookies | Marks & Spencer,1,1,1,"Claimed 'Reduced Fat Belgian Chocolate Chunk Cookies' but Reduced Fat Belgian Chocolate Chunk Cookies likely contains 5-10g fat per serving, exceeding FDA low fat threshold of ≤3g per serving"
246255,Soft Golden Wholemeal Farmhouse,Marks and Spencer,Farine de blé fermenté déshydraté (contient  Gluten<,Soft Golden Wholemeal Farmhouse | Marks and Spencer,1,1,0,Claim is consistent with expected nutritional profile for this product type
